latitude,longitude,area,azimuth
50.756374,5.592184,10.76,203.32
50.755975,5.593444,14.26,149.55
50.755982,5.595964,10.34,180.0
50.756349,5.596271,10.56,219.98
50.756089,5.596961,24.81,173.38
50.756279,5.597238,17.56,174.43
50.756203,5.599631,44.86,178.85
50.75625,5.599567,17.07,180.0
50.755973,5.609744,51.18,218.23
50.755219,5.668707,13.9,180.0
50.755444,5.67216,11.44,151.54
50.755105,5.672996,14.98,195.38
50.754932,5.673793,14.85,173.81
50.755018,5.673228,17.52,180.0
50.755133,5.673435,59.3,181.46
50.755285,5.678904,18.89,158.8
50.755452,5.678529,17.95,180.0
50.754955,5.680085,20.49,163.09
50.754488,5.738137,10.65,182.78
50.752075,5.930677,11.38,142.1
50.751398,5.976035,14.93,220.08
50.751192,5.984624,16.75,150.36
50.751282,5.999991,24.12,182.13
50.755812,5.542224,30.5,158.26
50.755813,5.543132,14.38,153.43
50.756276,5.544077,13.46,180.0
50.755534,5.571385,50.0,193.45
50.755839,5.571276,31.33,193.63
50.755872,5.579649,20.07,180.0
50.755451,5.580884,16.67,175.66
50.755639,5.580695,15.52,192.16
50.755692,5.583611,18.51,165.83
50.755776,5.58541,12.64,180.0
50.755829,5.585431,14.76,172.19
50.755748,5.591507,50.93,203.99
50.75571,5.593348,12.78,147.84
50.755248,5.594167,13.55,145.8
50.755404,5.594328,14.73,150.36
50.755478,5.594602,16.36,149.17
50.755543,5.594605,12.2,180.0
50.755305,5.596469,34.09,198.59
50.755515,5.598166,23.89,180.0
50.755532,5.599597,16.85,192.04
50.755395,5.608063,24.49,217.46
50.755529,5.60816,14.5,221.14
50.755575,5.608072,19.23,221.31
50.755439,5.610131,16.37,212.51
50.755474,5.61283,42.62,191.04
50.754352,5.671937,19.58,197.91
50.754578,5.673132,16.77,136.91
50.754375,5.674012,17.74,188.43
50.754503,5.673857,12.57,174.75
50.754576,5.673628,11.83,172.8
50.754819,5.673631,28.09,181.97
50.753723,5.739501,15.99,184.44
50.751479,5.930414,18.76,180.0
50.751446,5.931443,20.04,167.34
50.751334,5.932927,17.31,146.05
50.750516,6.000977,11.45,170.48
50.750303,6.005009,46.98,197.41
50.750125,6.00867,45.38,202.56
50.755382,5.536616,18.86,155.97
50.755284,5.541169,10.81,160.07
50.755348,5.540931,27.37,158.44
50.755682,5.541094,41.93,157.2
50.755336,5.542272,13.54,210.56
50.755377,5.542218,10.19,218.16
50.755607,5.542542,15.66,225.0
50.755669,5.542439,17.02,141.17
50.755128,5.543015,42.52,222.37
50.755227,5.542897,38.61,220.48
50.755464,5.543959,36.91,220.63
50.755131,5.544904,25.41,210.86
50.755285,5.544753,56.02,213.14
50.75503,5.571572,26.38,194.69
50.755222,5.577106,27.7,196.91
50.754637,5.589094,26.88,194.75
50.754808,5.588892,36.15,205.08
50.754889,5.59518,21.56,182.92
50.754899,5.61232,22.82,173.09
50.754359,5.667756,10.93,183.25
50.754296,5.668497,19.44,162.26
50.753861,5.672155,16.14,186.17
50.754175,5.673026,21.67,197.65
50.753731,5.673909,17.96,165.02
50.753964,5.673871,27.05,203.07
50.753988,5.673624,17.77,182.22
50.754104,5.673604,231.39,185.8
50.754234,5.673686,23.72,187.2
50.754256,5.673349,28.31,181.78
50.753814,5.678649,35.91,172.15
50.753846,5.678896,11.81,180.0
50.753897,5.678944,16.7,159.21
50.753955,5.680784,28.45,174.59
50.753793,5.68171,55.91,178.46
50.753942,5.681363,27.36,151.56
50.753208,5.740409,18.08,180.0
50.751136,5.919596,39.99,209.36
50.750762,5.929131,12.31,193.03
50.75106,5.932691,17.21,144.05
50.750638,5.933742,18.67,204.44
50.750907,5.933656,11.32,219.49
50.750779,5.942072,38.33,199.8
50.750894,5.944142,12.4,151.54
50.750309,5.97775,16.54,183.27
50.750163,5.978858,22.58,189.46
50.749645,6.00242,10.98,180.0
50.749738,6.004935,20.57,187.92
50.754639,5.530675,22.38,187.82
50.754788,5.530696,36.86,154.93
50.754833,5.530563,29.2,154.8
50.754849,5.530321,113.77,152.17
50.754607,5.531465,12.83,180.0
50.755061,5.53147,13.75,180.0
50.755122,5.536692,16.74,158.75
50.754902,5.536898,11.53,161.57
50.754686,5.545072,35.32,222.55
50.754768,5.571661,15.5,192.7
50.75428,5.573382,23.87,189.27
50.75429,5.573843,29.76,193.58
50.754371,5.573438,14.6,189.09
50.754416,5.573457,12.09,180.0
50.754179,5.577485,29.04,196.05
50.754239,5.583486,35.76,171.98
50.754617,5.584232,24.53,166.97
50.754595,5.589031,16.51,214.95
50.753538,5.649324,10.63,159.12
50.753614,5.664688,11.47,185.82
50.753638,5.666815,36.26,219.51
50.75321,5.66784,17.45,169.72
50.753165,5.672618,17.69,180.0
50.753175,5.672734,13.01,201.68
50.753198,5.673179,10.42,155.89
50.75359,5.673758,73.9,169.66
50.753622,5.674043,55.58,180.0
50.753676,5.673717,23.28,217.72
50.753157,5.674362,14.03,180.0
50.753157,5.674536,14.96,180.0
50.753262,5.674184,24.07,180.0
50.753338,5.675021,23.62,176.05
50.753505,5.674127,10.98,180.0
50.75334,5.67509,12.0,206.8
50.75354,5.679319,11.91,168.51
50.753072,5.679891,13.98,180.0
50.75313,5.681428,24.29,177.3
50.753335,5.681286,30.93,180.0
50.753359,5.68145,24.41,177.48
50.753302,5.682363,16.5,180.0
50.752403,5.742902,10.28,162.68
50.750527,5.921976,15.93,212.51
50.750267,5.93497,18.69,180.0
50.750041,5.935518,12.01,178.26
50.749813,5.954698,19.44,138.69
50.749542,6.001708,29.78,208.79
50.749176,6.00494,31.7,201.07
50.749312,6.0051,10.64,212.47
50.748878,6.009337,10.44,180.0
50.74945,6.010139,10.28,177.48
50.754575,5.53152,13.05,180.0
50.754356,5.536116,23.67,180.0
50.754342,5.538089,18.73,153.43
50.754004,5.550404,73.59,214.28
50.75379,5.567417,44.48,193.63
50.753629,5.572071,27.17,190.58
50.753979,5.571872,18.2,180.0
50.753852,5.571993,91.21,193.94
50.754076,5.571916,10.73,192.04
50.754113,5.573852,24.51,191.4
50.753862,5.574647,16.92,200.42
50.753888,5.575487,18.12,167.61
50.75399,5.577185,13.21,198.3
50.753692,5.585111,41.86,168.46
50.753676,5.5997,42.06,189.66
50.753705,5.602714,25.14,180.0
50.753145,5.6678,14.35,180.0
50.752641,5.671488,20.27,173.37
50.752828,5.671454,37.78,153.43
50.752916,5.671733,11.85,182.05
50.752575,5.672966,11.8,181.59
50.752698,5.672974,13.92,180.0
50.753077,5.673035,11.99,180.0
50.752604,5.673729,27.08,218.73
50.753016,5.673166,35.03,184.43
50.752739,5.674269,89.28,186.51
50.75244,5.680926,40.68,185.95
50.752767,5.681233,19.65,135.58
50.752506,5.682821,16.62,189.06
50.750004,5.918547,128.16,186.91
50.749192,5.968645,11.58,175.56
50.74883,5.969522,17.35,221.31
50.74914,5.968937,11.28,180.0
50.749328,5.968983,13.61,210.01
50.748453,6.001398,31.81,213.69
50.753749,5.53411,26.8,193.83
50.753602,5.535997,12.62,198.26
50.753833,5.536083,21.84,141.59
